,0
0,2
1,8
2,8
3,5
4,7
5,8
6,3
7,2
8,8
9,0
10,8
11,8
12,0
13,3
14,4
15,7
16,9
17,6
18,9
19,5
20,4
21,5
22,3
23,4
24,4
25,3
26,0
27,3
28,5
29,8
30,9
31,3
32,9
33,5
34,0
35,3
36,9
37,2
38,0
39,3
40,8
41,8
42,5
43,5
44,5
45,8
46,8
47,9
48,9
49,2
50,6
51,0
52,9
53,5
54,8
55,5
56,8
57,7
58,0
59,9
60,3
61,0
62,4
63,8
64,9
65,5
66,7
67,8
68,8
69,1
70,7
71,9
72,7
73,6
74,6
75,0
76,0
77,7
78,1
79,4
80,2
81,0
82,9
83,4
84,8
85,1
86,1
87,7
88,0
89,6
90,1
91,9
92,5
93,1
94,1
95,9
96,7
97,5
98,3
99,0
100,7
101,0
102,3
103,4
104,1
105,2
106,4
107,8
108,8
109,3
110,0
111,7
112,2
113,7
114,0
115,1
116,9
117,7
118,4
119,4
120,7
121,4
122,4
123,0
124,4
125,8
126,0
127,3
128,4
129,7
130,0
131,0
132,7
133,0
134,5
135,2
136,2
137,9
138,5
139,1
140,8
141,9
142,7
143,7
144,0
145,2
146,5
147,6
148,7
149,0
150,0
151,6
152,3
153,8
154,4
155,9
156,2
157,5
158,3
159,4
160,2
161,6
162,2
163,4
164,9
165,3
166,5
167,8
168,4
169,0
170,3
171,4
172,2
173,5
174,2
175,7
176,2
177,9
178,1
179,6
180,9
181,6
182,5
183,0
184,1
185,0
186,3
187,4
188,4
189,1
190,4
191,4
192,5
193,8
194,0
195,1
196,7
197,4
198,3
199,7
200,0
201,4
202,0
203,2
204,1
205,4
206,3
207,2
208,8
209,5
210,7
211,3
212,4
213,7
214,4
215,3
216,5
217,3
218,7
219,0
220,7
221,9
222,5
223,2
224,7
225,3
226,0
227,4
228,2
229,0
230,8
231,5
232,9
233,7
234,1
235,5
236,2
237,5
238,1
239,2
240,5
241,8
242,6
243,5
244,9
245,7
246,8
247,3
248,7
249,2
250,8
251,8
252,5
253,0
254,4
255,2
256,8
257,3
258,8
259,3
260,6
261,1
262,7
263,6
264,6
265,2
266,3
267,3
268,8
269,4
270,7
271,0
272,2
273,5
274,9
275,2
276,9
277,1
278,0
279,9
280,8
281,5
282,4
283,0
284,7
285,7
286,2
287,0
288,9
289,0
290,5
291,7
292,3
293,0
294,4
295,3
296,5
297,0
298,1
299,3
300,9
301,4
302,1
303,0
304,2
305,4
306,9
307,0
308,3
309,8
310,7
311,8
312,2
313,3
314,7
315,8
316,3
317,8
318,3
319,0
320,4
321,5
322,5
323,5
324,7
325,0
326,0
327,0
328,2
329,2
330,3
331,4
332,6
333,2
334,9
335,0
336,4
337,5
338,0
339,1
340,9
341,0
342,7
343,4
344,4
345,3
346,1
347,9
348,3
349,4
350,5
351,0
352,1
353,7
354,0
355,8
356,5
357,3
358,0
359,9
360,4
361,4
362,9
363,3
364,9
365,8
366,7
367,5
368,5
369,0
370,8
371,7
372,8
373,3
374,3
375,1
376,2
377,7
378,7
379,4
380,4
381,2
382,8
383,2
384,7
385,0
386,0
387,0
388,7
389,9
390,0
391,7
392,8
393,5
394,9
395,3
396,5
397,2
398,5
399,5
400,4
401,7
402,0
403,7
404,9
405,0
406,5
407,4
408,3
409,4
410,7
411,2
412,3
413,3
414,3
415,1
416,9
417,2
418,2
419,0
420,1
421,8
422,8
423,9
424,9
425,4
426,3
427,7
428,0
429,4
430,5
431,9
432,0
433,0
434,8
435,3
436,7
437,2
438,7
439,6
440,7
441,7
442,8
443,8
444,9
445,4
446,7
447,7
448,1
449,1
450,2
451,8
452,7
453,0
454,3
455,1
456,8
457,3
458,0
459,4
460,0
461,4
462,0
463,3
464,3
465,4
466,2
467,5
468,3
469,9
470,3
471,2
472,8
473,2
474,8
475,8
476,7
477,2
478,2
479,3
480,3
481,5
482,0
483,9
484,3
485,6
486,8
487,7
488,2
489,3
490,8
491,6
492,2
493,4
494,8
495,9
496,7
497,3
498,5
499,5
500,8
501,3
502,4
503,9
504,4
505,0
506,8
507,7
508,7
509,0
510,1
511,9
512,8
513,7
514,3
515,2
516,2
517,6
518,1
519,4
520,5
521,3
522,0
523,8
524,4
525,2
526,7
527,7
528,8
529,8
530,0
531,9
532,6
533,5
534,1
535,7
536,7
537,5
538,4
539,7
540,5
541,7
542,1
543,1
544,4
545,2
546,8
547,1
548,2
549,2
550,7
551,8
552,1
553,4
554,4
555,3
556,1
557,0
558,3
559,8
560,3
561,7
562,0
563,4
564,5
565,3
566,5
567,3
568,4
569,5
570,9
571,3
572,0
573,8
574,9
575,3
576,0
577,4
578,5
579,7
580,0
581,3
582,9
583,0
584,9
585,1
586,4
587,8
588,0
589,5
590,9
591,0
592,9
593,9
594,5
595,0
596,6
597,3
598,9
599,8
600,5
601,7
602,2
603,7
604,8
605,9
606,4
607,8
608,0
609,6
610,9
611,9
612,5
613,7
614,0
615,2
616,4
617,4
618,0
619,4
620,0
621,8
622,4
623,9
624,5
625,0
626,9
627,5
628,3
629,2
630,9
631,6
632,5
633,4
634,7
635,2
636,4
637,1
638,7
639,0
640,2
641,5
642,7
643,7
644,9
645,5
646,7
647,5
648,9
649,8
650,5
651,2
652,8
653,4
654,5
655,3
656,8
657,5
658,4
659,7
660,7
661,5
662,3
663,7
664,5
665,3
666,8
667,4
668,6
669,1
670,5
671,2
672,7
673,0
674,0
675,2
676,7
677,3
678,0
679,7
680,8
681,3
682,8
683,8
684,5
685,5
686,8
687,0
688,5
689,4
690,5
691,9
692,0
693,3
694,1
695,4
696,8
697,8
698,3
699,8
700,0
701,0
702,0
703,4
704,2
705,8
706,3
707,0
708,1
709,7
710,9
711,7
712,9
713,9
714,5
715,4
716,7
717,2
718,2
719,0
720,2
721,5
722,4
723,5
724,7
725,2
726,4
727,6
728,6
729,4
730,4
731,7
732,2
733,7
734,7
735,4
736,1
737,5
738,3
739,5
740,7
741,8
742,5
743,4
744,7
745,5
746,8
747,1
748,0
749,8
750,0
751,3
752,7
753,2
754,6
755,8
756,7
757,2
758,9
759,9
760,7
761,2
762,3
763,5
764,0
765,7
766,8
767,2
768,0
769,7
770,0
771,7
772,2
773,7
774,9
775,7
776,1
777,7
778,7
779,5
780,5
781,8
782,4
783,0
784,0
785,3
786,5
787,2
788,0
789,2
790,2
791,4
792,8
793,8
794,8
795,2
796,8
797,8
798,5
799,3
800,3
801,7
802,7
803,7
804,3
805,7
806,0
807,9
808,9
809,7
810,3
811,2
812,8
813,2
814,3
815,2
816,7
817,8
818,2
819,8
820,0
821,0
822,6
823,0
824,3
825,7
826,1
827,5
828,2
829,9
830,4
831,2
832,8
833,6
834,4
835,5
836,0
837,7
838,2
839,5
840,7
841,7
842,8
843,2
844,8
845,5
846,4
847,9
848,8
849,5
850,2
851,2
852,7
853,1
854,9
855,7
856,6
857,3
858,2
859,3
860,5
861,0
862,9
863,9
864,0
865,3
866,4
867,4
868,7
869,8
870,7
871,0
872,0
873,9
874,8
875,7
876,1
877,0
878,8
879,7
880,8
881,0
882,6
883,2
884,7
885,7
886,0
887,9
888,7
889,0
890,8
891,2
892,3
893,7
894,4
895,5
896,9
897,4
898,9
899,8
900,5
901,7
902,4
903,5
904,1
905,5
906,2
907,5
908,4
909,6
910,8
911,9
912,3
913,0
914,2
915,4
916,3
917,0
918,3
919,4
920,7
921,2
922,6
923,0
924,3
925,1
926,7
927,0
928,3
929,0
930,4
931,9
932,2
933,2
934,6
935,0
936,2
937,8
938,3
939,7
940,8
941,5
942,8
943,7
944,3
945,6
946,6
947,8
948,3
949,7
950,9
951,7
952,9
953,3
954,9
955,3
956,6
957,7
